ad_id,erste_sichtung
3476481612,2026-08-04
3476481650,2026-08-04
3476481872,2026-08-04
3476482391,2026-08-04
3476482912,2026-08-04
3476482981,2026-08-04
3476483401,2026-08-04
3476483817,2026-08-04
3476483935,2026-08-04
3476484309,2026-08-04
3476484464,2026-08-04
3476484563,2026-08-04
3476484592,2026-08-04
3476484607,2026-08-04
3476484760,2026-08-04
3476485015,2026-08-04
3476485096,2026-08-04
3476485939,2026-08-04
3476486096,2026-08-04
3476486153,2026-08-04
3476486161,2026-08-04
3476486337,2026-08-04
3476486424,2026-08-04
3476486442,2026-08-04
3476486444,2026-08-04
3476486450,2026-08-04
3476486500,2026-08-04
3476486944,2026-08-04
3476487083,2026-08-04
3476487105,2026-08-04
3476488040,2026-08-04
3476488287,2026-08-04
3476488306,2026-08-04
3476488401,2026-08-04
3476488735,2026-08-04
3476489326,2026-08-04
3476489392,2026-08-04
3476489428,2026-08-04
3476489520,2026-08-04
3476489780,2026-08-04
3476490109,2026-08-04
3476490204,2026-08-04
3476490316,2026-08-04
3476490446,2026-08-04
3476490588,2026-08-04
3476490635,2026-08-04
3476490950,2026-08-04
3476491182,2026-08-04
3476491219,2026-08-04
3476491353,2026-08-04
3476491473,2026-08-04
3476491608,2026-08-04
3476491673,2026-08-04
3476492355,2026-08-04
3476492530,2026-08-04
3476492868,2026-08-04
3476492899,2026-08-04
3476493256,2026-08-04
3476493340,2026-08-04
3476494065,2026-08-04
3476494303,2026-08-04
3476494469,2026-08-04
3476494890,2026-08-04
3476494927,2026-08-04
3476494972,2026-08-04
3476495347,2026-08-04
3476495926,2026-08-04
3476496102,2026-08-04
3476496533,2026-08-04
3476496595,2026-08-04
3476496665,2026-08-04
3476497156,2026-08-04
3476497353,2026-08-04
3476497565,2026-08-04
3476497904,2026-08-04
3476498042,2026-08-04
3476498085,2026-08-04
3476498228,2026-08-04
3476498397,2026-08-04
3476498920,2026-08-04
3476499335,2026-08-04
3476499350,2026-08-04
3476499360,2026-08-04
3476499641,2026-08-04
3476499670,2026-08-04
3476499720,2026-08-04
3476500218,2026-08-04
3476500630,2026-08-04
3476500969,2026-08-04
3476501242,2026-08-04
3476501571,2026-08-04
3476501640,2026-08-04
3476503201,2026-08-04
3476503370,2026-08-04
3476503671,2026-08-04
3476503870,2026-08-04
3476504096,2026-08-04
3476504245,2026-08-04
3476504264,2026-08-04
3476504470,2026-08-04
3476504561,2026-08-04
3476504602,2026-08-04
3476504729,2026-08-04
3476504791,2026-08-04
3476505098,2026-08-04
3476505180,2026-08-04
3476505333,2026-08-04
3476505701,2026-08-04
3476505909,2026-08-04
3476506474,2026-08-04
3476506933,2026-08-04
3476507160,2026-08-04
3476507831,2026-08-04
3476508066,2026-08-04
3476508163,2026-08-04
3476508972,2026-08-04
3476509065,2026-08-04
3476509580,2026-08-04
3476510371,2026-08-04
3476510596,2026-08-04
3476510691,2026-08-04
3476511236,2026-08-04
3476511342,2026-08-04
3476511977,2026-08-04
3476512308,2026-08-04
3476512801,2026-08-04
3476513772,2026-08-04
3476513784,2026-08-04
3476514643,2026-08-04
3476515174,2026-08-04
3476515236,2026-08-04
3476515275,2026-08-04
3476515506,2026-08-04
3476515736,2026-08-04
3476515775,2026-08-04
3476515794,2026-08-04
3476516388,2026-08-04
3476516401,2026-08-04
3476516540,2026-08-04
3476516668,2026-08-04
3476517511,2026-08-04
3476517610,2026-08-04
3476517781,2026-08-04
3476517907,2026-08-04
3476518391,2026-08-04
3476518703,2026-08-04
3476518783,2026-08-04
3476518836,2026-08-04
3476519122,2026-08-04
3476520222,2026-08-04
3476520468,2026-08-04
3476520509,2026-08-04
3476520546,2026-08-04
3476520762,2026-08-04
3476520842,2026-08-04
3476521000,2026-08-04
3476521341,2026-08-04
3476522633,2026-08-04
3476522781,2026-08-04
3476523021,2026-08-04
3476523259,2026-08-04
3476523367,2026-08-04
3476523396,2026-08-04
3476523481,2026-08-04
3476524068,2026-08-04
3476524545,2026-08-04
3476524670,2026-08-04
3476524713,2026-08-04
3476525181,2026-08-04
3476525563,2026-08-04
3476526167,2026-08-04
3476526198,2026-08-04
3476527150,2026-08-04
3476528283,2026-08-04
3476528316,2026-08-04
3476528402,2026-08-04
3476528518,2026-08-04
3476528538,2026-08-04
3476528690,2026-08-04
3476528708,2026-08-04
3476528872,2026-08-04
3476529336,2026-08-04
3476529691,2026-08-04
3476529785,2026-08-04
3476530156,2026-08-04
3476530187,2026-08-04
3476530261,2026-08-04
3476530522,2026-08-04
3476530852,2026-08-04
3476531274,2026-08-04
3476531423,2026-08-04
3476531645,2026-08-04
3476532006,2026-08-04
3476532081,2026-08-04
3476532144,2026-08-04
3476532286,2026-08-04
3476532390,2026-08-04
3476532399,2026-08-04
3476532433,2026-08-04
3476532881,2026-08-04
3476532947,2026-08-04
3476533450,2026-08-04
3476533826,2026-08-04
3476533952,2026-08-04
3476534195,2026-08-04
3476534215,2026-08-04
3476534275,2026-08-04
3476534537,2026-08-04
3476534776,2026-08-04
3476534952,2026-08-04
3476534961,2026-08-04
3476534980,2026-08-04
3476535039,2026-08-04
3476535238,2026-08-04
3476535281,2026-08-04
3476535362,2026-08-04
3476535690,2026-08-04
3476536046,2026-08-04
3476536212,2026-08-04
3476536432,2026-08-04
3476536680,2026-08-04
3476536684,2026-08-04
3476536722,2026-08-04
3476536869,2026-08-04
3476536930,2026-08-04
3476537018,2026-08-04
3476537619,2026-08-04
3476537711,2026-08-04
3476537726,2026-08-04
3476537758,2026-08-04
3476537907,2026-08-04
3476538004,2026-08-04
3476538031,2026-08-04
3476538037,2026-08-04
3476538738,2026-08-04
3476538828,2026-08-04
3476539255,2026-08-04
3476539444,2026-08-04
3476539652,2026-08-04
3476539917,2026-08-04
3476540111,2026-08-04
3476540175,2026-08-04
3476540176,2026-08-04
3476540187,2026-08-04
3476540236,2026-08-04
3476540486,2026-08-04
3476540507,2026-08-04
3476540654,2026-08-04
3476541320,2026-08-04
3476541472,2026-08-04
3476541736,2026-08-04
3476542345,2026-08-04
3476542395,2026-08-04
3476543062,2026-08-04
3476543514,2026-08-04
3476543665,2026-08-04
3476543743,2026-08-04
3476543931,2026-08-04
3476543979,2026-08-04
3476544163,2026-08-04
3476544178,2026-08-04
3476544204,2026-08-04
3476544460,2026-08-04
3476544622,2026-08-04
3476544762,2026-08-04
3476544789,2026-08-04
3476544912,2026-08-04
3476545210,2026-08-04
3476545313,2026-08-04
3476545391,2026-08-04
3476545595,2026-08-04
3476545618,2026-08-04
3476545653,2026-08-04
3476545815,2026-08-04
3476546638,2026-08-04
3476546719,2026-08-04
3476546756,2026-08-04
3476546829,2026-08-04
3476546906,2026-08-04
3476546973,2026-08-04
3476546975,2026-08-04
3476546985,2026-08-04
3476546990,2026-08-04
3476547040,2026-08-04
3476547506,2026-08-04
3476547576,2026-08-04
3476547970,2026-08-04
3476548263,2026-08-04
3476548275,2026-08-04
3476549064,2026-08-04
3476549328,2026-08-04
3476549400,2026-08-04
3476549421,2026-08-04
3476549515,2026-08-04
3476549874,2026-08-04
3476550003,2026-08-04
3476550385,2026-08-04
3476550567,2026-08-04
3476550639,2026-08-04
3476551277,2026-08-04
3476551476,2026-08-04
3476551575,2026-08-04
3476551610,2026-08-04
3476551699,2026-08-04
3476552248,2026-08-04
3476552311,2026-08-04
3476552518,2026-08-04
3476552554,2026-08-04
3476552673,2026-08-04
3476552800,2026-08-04
3476553172,2026-08-04
3476553471,2026-08-04
3476553526,2026-08-04
3476553594,2026-08-04
3476553807,2026-08-04
3476553925,2026-08-04
3476553998,2026-08-04
3476554087,2026-08-04
3476554136,2026-08-04
3476554279,2026-08-04
3476554361,2026-08-04
3476554385,2026-08-04
3476554578,2026-08-04
3476554761,2026-08-04
3476554897,2026-08-04
3476554964,2026-08-04
3476555474,2026-08-04
3476555735,2026-08-04
3476556010,2026-08-04
3476556493,2026-08-04
3476556500,2026-08-04
3476556509,2026-08-04
3476556822,2026-08-04
3476556972,2026-08-04
3476557038,2026-08-04
3476557060,2026-08-04
3476557655,2026-08-04
3476558318,2026-08-04
3476559072,2026-08-04
3476559326,2026-08-04
3476559439,2026-08-04
3476559459,2026-08-04
3476559685,2026-08-04
3476559903,2026-08-04
3476559933,2026-08-04
3476560132,2026-08-04
3476560381,2026-08-04
3476560459,2026-08-04
3476560792,2026-08-04
3476560877,2026-08-04
3476560890,2026-08-04
3476560980,2026-08-04
3476561017,2026-08-04
3476561039,2026-08-04
3476561094,2026-08-04
3476561236,2026-08-04
3476561867,2026-08-04
3476561957,2026-08-04
3476562187,2026-08-04
3476562614,2026-08-04
3476562666,2026-08-04
3476562729,2026-08-04
3476563005,2026-08-04
3476563222,2026-08-04
3476563729,2026-08-04
3476563812,2026-08-04
3476564049,2026-08-04
3476564758,2026-08-04
3476565103,2026-08-04
3476565184,2026-08-04
3476565588,2026-08-04
3476566133,2026-08-04
3476566186,2026-08-04
3476566533,2026-08-04
3476566574,2026-08-04
3476566680,2026-08-04
3476566725,2026-08-04
3476566788,2026-08-04
3476566846,2026-08-04
3476567029,2026-08-04
3476567220,2026-08-04
3476567251,2026-08-04
3476567678,2026-08-04
3476567718,2026-08-04
3476567998,2026-08-04
3476568347,2026-08-04
3476568532,2026-08-04
3476568667,2026-08-04
3476568719,2026-08-04
3476569132,2026-08-04
3476569139,2026-08-04
3476569332,2026-08-04
3476569593,2026-08-04
3476569718,2026-08-04
3476569748,2026-08-04
3476570090,2026-08-04
3476570111,2026-08-04
3476570163,2026-08-04
3476570195,2026-08-04
3476570741,2026-08-04
3476570790,2026-08-04
3476570963,2026-08-04
3476571263,2026-08-04
3476571313,2026-08-04
3476571347,2026-08-04
3476571402,2026-08-04
3476571544,2026-08-04
3476571875,2026-08-04
3476572119,2026-08-04
3476572244,2026-08-04
3476573007,2026-08-04
3476573683,2026-08-04
3476574187,2026-08-04
3476574262,2026-08-04
3476574603,2026-08-04
3476574631,2026-08-04
3476574753,2026-08-04
3476574835,2026-08-04
3476574876,2026-08-04
3476575429,2026-08-04
3476575486,2026-08-04
3476575639,2026-08-04
3476576458,2026-08-04
3476576772,2026-08-04
3476576907,2026-08-04
3476576950,2026-08-04
3476576983,2026-08-04
3476577050,2026-08-04
3476577056,2026-08-04
3476577834,2026-08-04
3476578007,2026-08-04
3476578073,2026-08-04
3476578272,2026-08-04
3476578325,2026-08-04
3476578999,2026-08-04
3476579163,2026-08-04
3476579196,2026-08-04
3476579709,2026-08-04
3476579805,2026-08-04
3476580266,2026-08-04
3476580635,2026-08-04
3476580657,2026-08-04
3476580673,2026-08-04
3476580772,2026-08-04
3476581167,2026-08-04
3476581386,2026-08-04
3476581612,2026-08-04
3476581892,2026-08-04
3476582080,2026-08-04
3476582643,2026-08-04
3476582851,2026-08-04
3476583144,2026-08-04
3476583160,2026-08-04
3476583252,2026-08-04
3476583258,2026-08-04
3476583487,2026-08-04
3476583503,2026-08-04
3476583655,2026-08-04
3476584074,2026-08-04
3476584179,2026-08-04
3476584454,2026-08-04
3476584718,2026-08-04
3476585799,2026-08-04
3476585818,2026-08-04
3476585934,2026-08-04
3476586309,2026-08-04
3476586851,2026-08-04
3476587103,2026-08-04
3476587222,2026-08-04
3476587445,2026-08-04
3476587470,2026-08-04
3476587606,2026-08-04
3476587658,2026-08-04
3476587831,2026-08-04
3476588414,2026-08-04
3476588772,2026-08-04
3476588942,2026-08-04
3476589041,2026-08-04
3476589143,2026-08-04
3476589623,2026-08-04
3476589676,2026-08-04
3476589946,2026-08-04
3476590007,2026-08-04
3476590190,2026-08-04
3476590377,2026-08-04
3476590513,2026-08-04
3476590593,2026-08-04
3476590683,2026-08-04
3476590689,2026-08-04
3476590791,2026-08-04
3476590995,2026-08-04
3476590997,2026-08-04
3476591190,2026-08-04
3476591468,2026-08-04
3476591621,2026-08-04
3476591682,2026-08-04
3476592016,2026-08-04
3476592018,2026-08-04
3476592207,2026-08-04
3476592301,2026-08-04
3476593157,2026-08-04
3476593654,2026-08-04
3476594202,2026-08-04
3476594255,2026-08-04
3476594662,2026-08-04
3476594735,2026-08-04
3476594750,2026-08-04
3476595038,2026-08-04
3476595061,2026-08-04
3476595116,2026-08-04
3476595125,2026-08-04
3476595198,2026-08-04
3476595235,2026-08-04
3476595594,2026-08-04
3476595741,2026-08-04
3476595771,2026-08-04
3476596543,2026-08-04
3476596672,2026-08-04
3476597466,2026-08-04
3476597703,2026-08-04
3476597818,2026-08-04
3476597856,2026-08-04
3476598464,2026-08-04
3476598845,2026-08-04
3476598880,2026-08-04
3476598908,2026-08-04
3476599035,2026-08-04
3476599456,2026-08-04
3476599494,2026-08-04
3476599515,2026-08-04
3476599861,2026-08-04
3476600250,2026-08-04
3476600439,2026-08-04
3476600865,2026-08-04
3476600882,2026-08-04
3476600904,2026-08-04
3476600924,2026-08-04
3476600957,2026-08-04
3476601035,2026-08-04
3476601198,2026-08-04
3476601386,2026-08-04
3476601484,2026-08-04
3476601510,2026-08-04
3476602405,2026-08-04
3476602477,2026-08-04
3476602722,2026-08-04
3476603032,2026-08-04
3476603196,2026-08-04
3476603923,2026-08-04
3476604296,2026-08-04
3476604403,2026-08-04
3476604513,2026-08-04
3476605333,2026-08-04
3476605358,2026-08-04
3476605476,2026-08-04
3476605773,2026-08-04
3476606531,2026-08-04
3476606996,2026-08-04
3476607127,2026-08-04
3476607308,2026-08-04
3476607576,2026-08-04
3476608168,2026-08-04
3476608186,2026-08-04
3476608427,2026-08-04
3476608451,2026-08-04
3476608644,2026-08-04
3476609062,2026-08-04
3476609350,2026-08-04
3476609365,2026-08-04
3476609394,2026-08-04
3476609809,2026-08-04
3476609937,2026-08-04
3476610352,2026-08-04
3476610585,2026-08-04
3476610802,2026-08-04
3476610943,2026-08-04
3476611634,2026-08-04
3476611642,2026-08-04
3476612156,2026-08-04
3476612340,2026-08-04
3476612451,2026-08-04
3476612468,2026-08-04
3476612579,2026-08-04
3476612695,2026-08-04
3476613007,2026-08-04
3476613108,2026-08-04
3476613317,2026-08-04
3476613857,2026-08-04
3476613878,2026-08-04
3476614156,2026-08-04
3476614260,2026-08-04
3476614566,2026-08-04
3476614671,2026-08-04
3476614809,2026-08-04
3476615252,2026-08-04
3476615455,2026-08-04
3476615540,2026-08-04
3476616004,2026-08-04
3476616292,2026-08-04
3476616461,2026-08-04
3476616694,2026-08-04
3476616813,2026-08-04
3476616845,2026-08-04
3476617009,2026-08-04
3476617077,2026-08-04
3476617171,2026-08-04
3476617267,2026-08-04
3476617334,2026-08-04
3476617387,2026-08-04
3476617773,2026-08-04
3476617812,2026-08-04
3476617966,2026-08-04
3476618356,2026-08-04
3476618465,2026-08-04
3476618469,2026-08-04
3476618472,2026-08-04
3476618500,2026-08-04
3476618604,2026-08-04
3476618606,2026-08-04
3476618743,2026-08-04
3476618814,2026-08-04
3476618877,2026-08-04
3476618910,2026-08-04
3476619060,2026-08-04
3476619152,2026-08-04
3476619230,2026-08-04
3476619236,2026-08-04
3476619288,2026-08-04
3476619319,2026-08-04
3476619359,2026-08-04
3476619394,2026-08-04
3476619412,2026-08-04
3476619744,2026-08-04
3476619776,2026-08-04
3476619778,2026-08-04
3476619821,2026-08-04
3476620127,2026-08-04
3476620163,2026-08-04
3476620177,2026-08-04
3476620257,2026-08-04
3476620315,2026-08-04
3476620399,2026-08-04
3476620452,2026-08-04
3476620783,2026-08-04
3476620813,2026-08-04
3476620931,2026-08-04
3476621039,2026-08-04
3476621132,2026-08-04
3476621395,2026-08-04
3476621444,2026-08-04
3476621488,2026-08-04
3476621519,2026-08-04
3476621538,2026-08-04
3476621556,2026-08-04
3476621570,2026-08-04
3476621788,2026-08-04
3476621819,2026-08-04
3476621936,2026-08-04
3476622018,2026-08-04
3476622036,2026-08-04
3476622058,2026-08-04
3476622078,2026-08-04
3476622126,2026-08-04
3476622196,2026-08-04
3476622364,2026-08-04
3476622485,2026-08-04
3476622496,2026-08-04
3476622655,2026-08-04
3476622734,2026-08-04
3476622869,2026-08-04
3476622870,2026-08-04
3476622892,2026-08-04
3476622952,2026-08-04
3476623241,2026-08-04
3476623446,2026-08-04
3476623627,2026-08-04
3476623729,2026-08-04
3476623908,2026-08-04
3476623996,2026-08-04
3476624174,2026-08-04
3476624213,2026-08-04
3476624250,2026-08-04
3476624367,2026-08-04
3476624418,2026-08-04
3476624453,2026-08-04
3476624556,2026-08-04
3476624881,2026-08-04
3476625306,2026-08-04
3476625481,2026-08-04
3476625483,2026-08-04
3476625551,2026-08-04
3476625616,2026-08-04
3476625752,2026-08-04
3476626384,2026-08-04
3476626596,2026-08-04
3476626637,2026-08-04
3476626638,2026-08-04
3476626769,2026-08-04
3476627201,2026-08-04
3476627292,2026-08-04
3476627417,2026-08-04
3476627433,2026-08-04
3476627506,2026-08-04
3476627609,2026-08-04
3476628289,2026-08-04
